found_at,company,title,location,contract_type,score,mobilisation_time,url,core_skills,good_skills,intermediate_skills,missing_or_weak_keywords,classification_confidence,classification_reason,source_url
2026-05-27T12:20:42.922000+00:00,Stryker,(Senior) Project Manager (m/f/d),"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": """", ""addressLocality"": ""Freiburg"", ""addressRe","['FULL_TIME', 'TEMPORARY']",46.9,moyen,https://careers.stryker.com/senior-project-manager-m-f-d/job/7164C94EE11AA0B3754DA6E03B3A9AC4,"dispositifs médicaux, gestion de projet R&D, coordination pluridisciplinaire",contrôle-commande,"C, C/C++, R",,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:20:45.237093+00:00,Stryker,AOGEDP Project Engineer,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": """", ""addressLocality"": ""Suzhou"", ""addressRegi",['FULL_TIME'],49.8,moyen,https://careers.stryker.com/aogedp-project-engineer/job/12A2471F5899B1EC5C13F147151C8FA5,"gestion d'exigences, gestion de projet R&D, coordination pluridisciplinaire, anglais C1",,"R, impression 3D",,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:21:21.215548+00:00,Stryker,Alternance PMO - Pilotage de portefeuille de projets industriels H/F,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""176 Rue Lavoisier"", ""addressLocality"": ""Mont","['FULL_TIME', 'APPRENTICE']",35.1,long,https://careers.stryker.com/fr/alternance-pmo-pilotage-de-portefeuille-de-projets-industriels-h-f/job/7C47AA54964BD2C0A3D63E900C2899F8,"dispositifs médicaux, gestion de projet R&D, anglais C1",,R,Vue,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:21:22.207097+00:00,Stryker,Alternance Qualité H/F,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": """", ""addressLocality"": ""Pusignan"", ""addressRe","['FULL_TIME', 'APPRENTICE']",40.7,long,https://careers.stryker.com/fr/alternance-qualit%C3%A9-h-f/job/2BDCBC8B4117757BDC2F090CD671ECEF,"gestion d'exigences, dispositifs médicaux, anglais C1",ISO 13485,R,,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:21:23.265902+00:00,Stryker,Alternance R&D - Ingénieur d'essais biomécaniques H/F,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""176 Rue Lavoisier"", ""addressLocality"": ""Mont","['FULL_TIME', 'APPRENTICE']",63.8,court,https://careers.stryker.com/fr/alternance-r-d-ing%C3%A9nieur-d-essais-biom%C3%A9caniques-h-f/job/6E9BA51ABAD60201E2A5E2AE9779A6A3,"Python, MATLAB, dispositifs médicaux, gestion de projet R&D, anglais C1",biomécanique,R,,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:21:23.301380+00:00,Stryker,"Ingénieur d'essais biomécaniques H/F Retour à la recherche Postulez maintenant 176 Rue Lavoisier, Montbonnot-",France,Alternance,63.8,court,https://careers.stryker.com/fr/alternance-r-d-ingénieur-d-essais-biomécaniques-h-f/job/6E9BA51ABAD60201E2A5E2AE9779A6A3,"Python, MATLAB, dispositifs médicaux, gestion de projet R&D, anglais C1",biomécanique,R,,0.895,"Structure de fiche poste, titre détecté et domaine compatible.",https://careers.stryker.com/jobs
2026-05-27T12:21:24.325852+00:00,Stryker,Alternance R&D - Ingénieur logiciel H/F,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""streetAddress"": ""145 rue Rene Descartes"", ""addressLocality"": ","['APPRENTICE', 'FULL_TIME']",88.2,immédiat à court,https://careers.stryker.com/fr/alternance-r-d-ing%C3%A9nieur-logiciel-h-f/job/20FF6D852F15A0321DE4E2B69963AFC3,"Python, traitement d'images médicales, CT, visualisation 3D, dispositifs médicaux, gestion de projet R&D, anglais C1",traitement du signal,"C, C++, C/C++, R",,0.98,JSON-LD JobPosting détecté.,https://careers.stryker.com/jobs
2026-05-27T12:21:24.353109+00:00,Stryker,"Ingénieur logiciel H/F Retour à la recherche Postulez maintenant 145 rue Rene Descartes, Plouzane, 29 29280,",France,Alternance,88.2,immédiat à court,https://careers.stryker.com/fr/alternance-r-d-ingénieur-logiciel-h-f/job/20FF6D852F15A0321DE4E2B69963AFC3,"Python, traitement d'images médicales, CT, visualisation 3D, dispositifs médicaux, gestion de projet R&D, anglais C1",traitement du signal,"C, C++, C/C++, R",,0.895,"Structure de fiche poste, titre détecté et domaine compatible.",https://careers.stryker.com/jobs
2026-05-27T12:23:27.045287+00:00,Volta Medical,Senior Field Clinical Specialist H/F,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressLocality"": ""Lyon"", ""addressRegion"": null, ""addressCoun",CDI statut cadre,49.6,moyen,https://jobs.eu.lever.co/volta-medical/b20f14e0-fc17-448b-a166-b3323e4d1e90,"gestion d'exigences, gestion de projet R&D, coordination pluridisciplinaire, anglais C1",physiologie,R,,0.98,JSON-LD JobPosting détecté.,https://jobs.eu.lever.co/volta-medical
2026-05-27T12:26:01.126345+00:00,NeuroRestore,CLINICAL TRIAL SPECIALIST,,PhD,43.6,moyen,https://www.neurorestore.swiss/open-position-1/clinical-trial-specialist,"gestion d'exigences, dispositifs médicaux, coordination pluridisciplinaire, anglais C1",,,,0.8999999999999999,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.neurorestore.swiss/open-position
2026-05-27T12:28:30.361865+00:00,Microsoft Research,Principal Data Scientist,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""US""}, ""address",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556868948,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:28:33.092786+00:00,Microsoft Research,Principal Data Scientist,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556868948,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:28:38.384303+00:00,Microsoft Research,Senior Data Scientist - Industry Solutions Engineering,"[{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""GB""}, ""address",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556868159,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:28:40.855131+00:00,Microsoft Research,Senior Data Scientist,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556868159,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:28:45.104086+00:00,Microsoft Research,Data Scientist II,"{""@type"": ""Place"", ""address"": {""@type"": ""PostalAddress"", ""addressCountry"": {""@type"": ""Country"", ""name"": ""IN""}, ""addressL",FULL_TIME,64.7,court à moyen,http://apply.careers.microsoft.com/careers/job/1970393556867152,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,JSON-LD JobPosting détecté.,https://www.microsoft.com/en-us/research/careers/open-positions/
2026-05-27T12:28:49.949837+00:00,Microsoft Research,Data Scientist II,France,Stage,64.7,court à moyen,https://apply.careers.microsoft.com/careers/job/1970393556867152,"Python, GitHub, gestion d'exigences, Obsidian, anglais C1",contrôle-commande,"C, C/C++, R","JavaScript, Vue, Qt, Fiji, Cloud, Rust",0.98,"Structure de fiche poste, titre détecté et domaine compatible.",https://www.microsoft.com/en-us/research/careers/open-positions/
